imu,t,o,r,p,y,temp,press,alt
IMU1,17.41,1,-101.6,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.41,1,-26.47,-3.74,-26.4,25.1,103477.0,177.64
IMU3,17.41,1,-107.64,-1.31,-75.49,26.0,103565.0,184.84
IMU1,17.42,1,-101.61,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.42,1,-26.61,-3.8,-26.19,25.1,103477.0,177.64
IMU3,17.42,1,-107.64,-1.38,-75.43,26.0,103565.0,184.84
IMU1,17.43,1,-101.61,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.43,1,-26.75,-3.85,-25.99,25.1,103477.0,177.64
IMU3,17.43,1,-107.64,-1.42,-75.4,26.0,103565.0,184.84
IMU1,17.44,1,-101.61,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.44,1,-26.88,-3.91,-25.78,25.1,103477.0,177.64
IMU3,17.44,1,-107.64,-1.46,-75.38,26.0,103565.0,184.84
IMU1,17.45,1,-101.62,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.45,1,-26.74,-3.86,-25.93,25.1,103477.0,177.64
IMU3,17.45,1,-107.67,-1.58,-75.2,26.0,103565.0,184.84
IMU1,17.46,1,-101.62,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.46,1,-26.6,-3.81,-26.07,25.1,103477.0,177.64
IMU3,17.46,1,-107.72,-1.74,-74.99,26.0,103565.0,184.84
IMU1,17.47,1,-101.62,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.47,1,-26.46,-3.76,-26.22,25.1,103477.0,177.64
IMU3,17.47,1,-107.78,-1.9,-74.79,26.0,103565.0,184.84
IMU1,17.48,1,-101.62,-3.98,-0.0,25.4,103315.0,164.38
IMU2,17.48,1,-26.31,-3.67,-26.71,25.1,103477.0,177.64
IMU3,17.48,1,-107.82,-2.05,-74.6,26.0,103565.0,184.84
IMU1,17.49,1,-101.62,-3.98,-0.0,25.4,103315.0,164.38
